"","D367T01","D367T02","D367T03","D367T07","D367T08","D367T09","D367T13","D367T14","D367T15","D367T19","D367T20","D367T21","D367T25","D367T26","D367T27"
"ENSG00000240936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203498",1,3,2,1,0,0,0,0,1,0,1,1,0,5,4
"ENSG00000124782",1802,1833,2528,1892,1871,1889,2148,1270,1285,1959,1715,2126,2572,1294,1647
"ENSG00000225092",2,0,0,1,4,1,1,0,0,0,0,4,0,0,2
"ENSG00000201483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285771",2,4,6,0,1,0,4,2,4,1,6,4,2,2,6
"ENSG00000124783",4376,6919,8896,4862,5040,6101,5233,4692,3299,5466,7065,9168,9844,7757,7370
"ENSG00000238221",0,0,1,3,1,2,5,0,1,0,0,2,2,0,2
"ENSG00000164304",0,0,0,2,1,1,0,2,0,0,1,4,1,4,1
"ENSG00000219375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000220472",2,3,2,2,2,1,6,0,0,2,1,0,1,0,0
"ENSG00000230570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124784",261,336,341,320,347,332,320,247,173,331,346,377,586,330,230
"ENSG00000233503",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000219993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234115",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"ENSG00000261189",3,1,3,22,12,13,15,11,5,1,4,10,5,4,13
"ENSG00000096696",324,197,284,5212,1546,1464,2247,500,365,737,477,563,1600,591,684
"ENSG00000168566",409,286,324,623,344,350,869,328,175,528,336,365,875,269,238
"ENSG00000236512",1,0,0,1,1,1,3,0,0,0,0,2,4,1,0
"ENSG00000153162",9,4,9,9,7,24,10,3,6,14,1,6,9,1,6
"ENSG00000239264",4,2,3,3,3,3,12,2,0,2,2,6,9,0,2
"ENSG00000259040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000219294",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"ENSG00000188428",435,162,191,722,379,347,574,196,103,735,321,247,771,208,188
"ENSG00000265818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124802",81,30,29,99,40,39,101,20,12,100,30,31,180,34,13
"ENSG00000232234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000285216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124786",367,332,369,515,398,412,511,335,209,419,414,464,696,453,368
"ENSG00000285219",11,4,6,20,11,15,10,14,3,14,12,10,20,11,9
"ENSG00000276019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137203",1,0,1,0,9,4,2,3,0,4,0,2,29,1,1
"ENSG00000285278",0,0,1,0,0,2,0,1,0,2,1,0,1,0,0
"ENSG00000229950",0,0,0,0,2,3,0,3,0,0,3,3,0,0,1
"ENSG00000228478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000111846",467,991,1552,580,706,758,579,670,547,615,1087,1316,1075,1184,1311
"ENSG00000237685",1,2,1,7,8,13,3,0,2,10,3,4,6,1,5
"ENSG00000216359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205318",0,0,3,1,1,0,1,0,0,0,1,0,0,0,0
"ENSG00000285763",4,3,6,0,2,1,10,0,0,7,5,3,5,3,2
"ENSG00000137434",7,1,0,5,2,4,10,1,1,0,1,3,11,1,6
"ENSG00000201048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000111845",457,211,205,604,229,215,534,132,78,702,179,205,1005,128,117
"ENSG00000111843",1573,749,785,2187,1078,1020,2206,720,369,2306,892,962,2586,773,652
"ENSG00000272097",2,0,0,13,2,1,5,1,0,0,0,1,9,1,0
"ENSG00000137210",679,262,304,833,463,470,791,241,111,1023,356,384,1201,315,248
"ENSG00000272162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000111837",0,13,27,1,4,10,3,6,4,3,28,19,4,38,20
"ENSG00000124827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000153157",3,0,3,2,0,1,1,1,0,0,0,1,0,4,3
"ENSG00000197977",0,0,0,0,0,0,3,0,0,0,0,0,1,0,1
"ENSG00000274541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230314",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224531",633,408,499,802,535,592,776,358,275,830,443,471,1240,390,423
"ENSG00000244476",1,0,0,1,0,2,1,0,0,3,1,0,3,1,0
"ENSG00000271245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000247925",0,0,1,0,1,2,0,0,0,0,0,1,0,0,0
"ENSG00000111859",1153,320,775,839,362,583,1119,297,533,1085,221,367,2003,226,418
"ENSG00000233656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242753",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000202313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205269",1024,311,379,1181,311,388,1114,320,190,1136,433,445,1829,377,325
"ENSG00000271897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207419",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000111863",123,23,11,89,17,11,156,19,5,206,14,5,101,11,6
"ENSG00000234427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229896",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"ENSG00000095951",356,1070,1243,473,1115,1081,523,914,634,563,1199,1517,674,1552,1396
"ENSG00000078401",4,621,487,2,41,100,4,341,402,5,314,716,17,758,832
"ENSG00000218893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212802",21,9,15,29,14,15,37,16,14,35,25,21,68,21,26
"ENSG00000234015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112137",246,112,61,377,104,75,409,52,21,470,120,56,392,148,73
"ENSG00000206702",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000215022",1,2,1,4,6,5,8,0,0,12,3,0,12,5,2
"ENSG00000145979",250,96,84,347,75,71,298,81,42,365,104,81,436,96,67
"ENSG00000272379",0,0,1,3,2,2,0,1,2,3,3,0,0,1,0
"ENSG00000145990",857,105,99,1586,285,300,1661,186,149,1288,162,145,2452,181,241
"ENSG00000237786",1,0,0,5,0,1,2,2,0,1,1,3,2,0,0
"ENSG00000218265",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000202351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124523",181,112,141,343,278,263,286,194,82,272,284,257,370,239,178
"ENSG00000261071",1,12,2,7,4,4,6,2,2,3,9,6,8,6,4
"ENSG00000225921",608,664,741,776,485,573,851,522,309,896,700,781,1357,688,630
"ENSG00000010017",1415,1355,1722,1701,1570,1563,1634,1217,744,1851,1683,1789,2337,1288,1064
"ENSG00000050393",620,338,327,706,404,407,759,282,154,882,350,403,1313,373,304
"ENSG00000272209",1,2,0,0,1,0,0,0,0,0,1,0,1,0,1
"ENSG00000180537",0,0,2,0,0,0,0,0,1,1,3,1,0,1,5
"ENSG00000220868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112149",3345,24043,34837,4801,24822,26855,4776,20062,18567,5419,29926,41907,6201,24467,27667
"ENSG00000285639",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000238987",0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
"ENSG00000230631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226673",0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
"ENSG00000237346",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ENSG00000234540",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"ENSG00000229646",11,0,0,21,0,0,6,0,0,6,0,0,12,0,0
"ENSG00000206960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234261",15,0,0,24,0,0,8,0,0,33,0,0,14,0,0
"ENSG00000216754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271888",1,0,1,2,1,4,2,0,0,0,0,0,2,2,2
"ENSG00000008083",1501,629,883,1874,894,1052,1763,673,571,1928,974,1208,2241,824,938
"ENSG00000235488",0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
"ENSG00000201367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277411",0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
"ENSG00000047579",298,604,659,317,616,586,422,496,353,326,671,714,560,570,512
"ENSG00000214027",0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
"ENSG00000232947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007944",249,510,607,281,497,676,321,511,387,293,680,740,682,684,752
"ENSG00000263712",0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
"ENSG00000218073",4,1,1,2,4,1,0,0,0,0,1,0,1,2,0
"ENSG00000217078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137198",206,2443,3114,111,1854,1819,262,1759,1266,178,3105,3304,315,3456,2964
"ENSG00000282024",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"ENSG00000124788",1472,1475,2618,1650,2263,3068,1719,1334,1396,1811,1875,2773,2525,1378,2174
"ENSG00000229931",13,6,11,17,23,26,15,12,8,20,8,17,28,7,12
"ENSG00000272341",38,15,24,36,62,106,28,23,20,34,17,40,46,19,29
"ENSG00000230873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000184612",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000218359",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000137414",624,1058,1555,1027,1729,1946,934,1279,959,844,1639,1784,957,1198,1329
"ENSG00000124789",1422,2566,3769,1527,2071,2198,1466,1635,1287,1742,2735,3615,2720,2678,2811
"ENSG00000206881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272269",10,23,31,13,29,20,18,32,20,14,46,51,34,26,44
"ENSG00000201415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137177",1433,1445,1614,2014,2238,2475,1719,1311,958,1794,1898,1954,2764,1513,1498
"ENSG00000220920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187566",63,32,27,95,69,37,64,39,22,82,34,40,122,33,24
"ENSG00000137364",1926,1603,1917,2769,1697,1809,2948,1402,968,2795,1729,2155,4245,1787,1640
"ENSG00000165097",617,1075,1284,1060,910,1099,1369,964,714,1386,1573,1935,2048,1718,1615
"ENSG00000124795",4336,10738,13827,4417,12451,12512,4318,6996,5138,5757,12866,14254,8356,10868,9911
"ENSG00000199715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218976",0,0,1,0,1,0,0,0,0,0,1,0,0,2,0
"ENSG00000137393",522,8731,11675,1105,7724,8435,681,5563,4198,705,8193,10922,1120,9500,9382
"ENSG00000283408",1,2,2,0,2,0,0,1,2,0,0,0,0,1,3
"ENSG00000207775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229700",2,8,0,5,1,0,1,0,0,2,1,4,3,3,4
"ENSG00000172197",1445,374,480,1133,209,196,1126,144,131,750,265,350,1033,219,249
"ENSG00000227803",0,1,0,2,0,1,1,0,0,0,0,0,1,1,0
"ENSG00000112242",1061,1031,1288,1224,978,1115,1168,709,506,1343,1123,1260,1959,875,792
"ENSG00000240869",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224707",0,0,0,2,1,2,0,0,0,1,0,0,0,0,0
"ENSG00000222431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000145996",386,469,518,440,509,476,387,341,219,501,530,584,564,490,395
"ENSG00000225832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283480",0,3,0,0,0,1,1,2,0,1,0,0,2,1,0
"ENSG00000124766",470,235,200,961,556,511,688,214,116,729,342,275,1018,168,135
"ENSG00000220771",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000272168",1,14,3,3,25,6,1,12,5,2,6,15,6,21,18
"ENSG00000280443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172179",0,0,0,17,1,1,1,0,0,2,0,0,1,0,0
"ENSG00000112273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000220748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219582",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000152954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000146038",67,2,4,88,14,4,97,10,0,96,5,3,123,1,1
"ENSG00000146049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124532",1316,538,529,1641,660,587,1868,451,246,1673,535,640,2195,473,365
"ENSG00000112293",17,3,2,18,4,9,57,3,3,32,8,13,33,2,5
"ENSG00000112294",1295,167,143,1313,437,336,1814,207,88,1857,343,254,1353,180,137
"ENSG00000137261",9,3,8,2,3,1,12,6,6,26,2,9,6,4,5
"ENSG00000218186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000111802",2478,2652,3094,2844,3734,3482,3267,2378,1536,3326,3626,3442,3745,2689,2379
"ENSG00000112304",792,402,350,970,707,635,1400,421,196,1168,370,385,1348,433,269
"ENSG00000272345",26,17,23,27,34,40,30,14,8,25,16,14,37,9,15
"ENSG00000112308",5326,7350,10605,7551,8333,9813,7193,6949,5278,7028,9040,10923,10369,8543,8774
"ENSG00000272402",3,2,0,1,1,1,2,0,0,0,0,0,1,0,0
"ENSG00000224164",10,2,4,11,0,2,10,2,1,17,3,3,43,4,3
"ENSG00000218806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112312",340,154,175,286,65,72,330,84,49,481,125,165,822,121,114
"ENSG00000260286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000282804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000111913",29,407,415,134,851,784,86,272,140,75,670,692,65,546,359
"ENSG00000217083",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000214975",3,7,4,12,4,2,3,1,1,3,9,2,23,2,5
"ENSG00000220517",1,0,2,0,0,0,0,2,0,0,0,1,1,4,0
"ENSG00000244618",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000168405",155,523,371,139,644,422,150,275,132,137,496,433,326,453,305
"ENSG00000285801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219682",0,1,1,3,7,0,1,2,0,2,5,3,4,3,1
"ENSG00000262400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216718",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000213972",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000079691",225,63,61,526,224,214,355,88,58,432,102,103,484,121,112
"ENSG00000207286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000079689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000164508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000146047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000178762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000146039",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000124568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124564",0,1,0,0,1,3,0,0,0,0,0,0,0,1,0
"ENSG00000242387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112343",1592,5486,7308,1910,4783,4802,2036,4883,3115,1979,6883,7568,2412,7093,6014
"ENSG00000272558",0,1,0,3,0,1,0,0,0,2,1,1,0,0,1
"ENSG00000272462",60,46,31,41,52,49,66,58,20,50,39,37,95,34,30
"ENSG00000272810",3,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000224447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000275714",0,0,0,3,0,1,4,0,2,1,0,6,1,3,2
"ENSG00000278637",0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
"ENSG00000278705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274267",0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
"ENSG00000278463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276410",0,0,0,0,0,1,0,0,2,0,0,0,0,1,0
"ENSG00000234816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278272",1,2,0,1,0,0,0,0,0,2,0,0,0,0,1
"ENSG00000187837",132,263,251,256,705,817,190,406,203,164,258,310,234,500,415
"ENSG00000010704",431,168,117,435,210,115,606,195,48,539,218,134,703,210,118
"ENSG00000197061",1,0,3,0,0,1,0,1,0,0,0,0,1,0,0
"ENSG00000187475",0,6,10,1,11,10,0,5,1,0,7,12,0,3,4
"ENSG00000180596",27,511,928,72,988,1293,79,608,484,54,778,1246,82,1061,1258
"ENSG00000180573",229,1919,2602,568,5961,5159,447,2921,1682,307,3451,3364,345,3545,3193
"ENSG00000168298",1,12,10,2,28,50,0,15,7,1,9,28,5,13,25
"ENSG00000158373",34,484,787,105,778,746,66,662,404,57,636,848,67,700,722
"ENSG00000283064",1,3,4,1,11,10,5,9,3,4,2,8,1,6,7
"ENSG00000217159",0,0,1,0,1,5,0,1,0,0,2,2,0,0,0
"ENSG00000274290",11,72,108,10,183,168,8,139,83,1,129,130,8,124,136
"ENSG00000277157",1,0,5,1,15,11,1,13,4,1,3,1,1,7,6
"ENSG00000216331",1,0,0,1,0,0,0,2,0,2,0,0,1,0,0
"ENSG00000282988",6,49,98,14,266,223,18,134,61,5,157,139,15,130,121
"ENSG00000197409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277224",6,15,17,2,48,54,9,18,6,7,10,15,3,16,12
"ENSG00000217275",3,6,11,0,23,24,1,10,5,3,9,10,0,8,7
"ENSG00000276966",7,9,20,3,50,43,3,28,5,4,21,13,5,4,6
"ENSG00000273802",7,43,60,13,268,259,18,130,72,10,74,49,13,117,130
"ENSG00000277075",8,31,39,7,65,41,22,43,18,8,28,27,11,46,40
"ENSG00000277720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274750",134,384,592,148,318,313,123,314,191,179,519,673,100,356,322
"ENSG00000218281",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124575",0,3,0,0,9,9,3,9,7,2,3,5,4,6,2
"ENSG00000274618",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000275663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277775",0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
"ENSG00000275713",11,11,7,17,56,18,9,20,2,6,13,7,24,10,10
"ENSG00000273983",5,17,9,4,13,12,5,15,1,12,10,10,5,5,5
"ENSG00000218690",1,2,2,1,0,0,0,2,0,2,0,2,0,1,0
"ENSG00000278588",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"ENSG00000158406",37,335,558,61,743,832,63,593,443,42,493,629,73,621,671
"ENSG00000220875",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"ENSG00000186470",865,2376,2960,1420,3627,3888,677,1239,665,1378,3061,3464,1504,2459,2011
"ENSG00000124508",268,1164,1255,305,1413,1237,359,1388,748,334,1532,1690,482,1939,1526
"ENSG00000026950",393,2103,2707,974,3697,4176,725,2475,1492,594,3497,4292,882,3433,3175
"ENSG00000124549",40,129,109,88,156,169,71,185,117,60,173,199,94,195,222
"ENSG00000111801",314,2167,2836,537,2509,2814,473,2133,1521,471,2829,3515,617,2877,2474
"ENSG00000112763",667,2625,3588,647,2103,1996,724,2018,1491,702,2729,3509,1584,2917,2967
"ENSG00000284688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124557",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000199289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228223",260,187,158,396,229,187,354,156,89,313,212,171,489,183,130
"ENSG00000182952",593,1415,1640,1275,1824,2026,981,1249,865,1048,1950,2385,1495,1552,1579
"ENSG00000284607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000146109",395,420,564,476,420,392,574,364,225,535,481,510,916,434,434
"ENSG00000275846",0,0,0,1,1,1,1,0,0,3,0,0,1,0,0
"ENSG00000271071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181315",166,193,264,201,247,233,185,151,115,180,244,239,219,161,120
"ENSG00000285571",0,0,0,3,0,2,0,0,0,1,0,0,0,0,2
"ENSG00000261584",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000241549",4,2,10,10,5,4,4,3,3,7,5,6,10,5,5
"ENSG00000243307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
